# minor-darkwalker-cloak · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 8ac78e1f14b557df9963a575256b7d19a6ea1144456c83edcbac938390b56a57
# title: Płaszcz Mrocznego Wędrowca
# nav_label: Płaszcz Mrocznego Wędrowca
# description: Płaszcz Mrocznego Wędrowca (Darkwalker Cloak), mniejsze arkanum ze Stonetop: futro nieznanej bestii, które zmienia cię w obłok cienia.
PAGE	528
H3	Wystrzępiony futrzany płaszcz
P	◇ <b>,</b> <i>ciepły</i><b>,</b> <i>magiczny</i>
P	Skóra jakiejś nieznanej bestii o czarnym futrze. Jej szczecina jest sztywna, a powietrze wokół zawsze chłodne.
P	Gdy <b><i>zakładasz płaszcz</i></b>, znosisz nawet najsroższy mróz i widzisz w najgłębszym cieniu, ale jasne światło rani ci oczy, a ciepło nawet ogniska jest niemal nie do zniesienia.
P	Z pewnością kryje się w tym wystrzępionym futrze coś więcej. By odkryć jego sekrety, musisz…
C	… nosić je nieprzerwanie przez siedem dni i siedem nocy.
C	… wytropić stałocieplne zwierzę w bezksiężycową noc i wysmarować futro jego krwią.
C	… odnieść (lub zadać sobie) ciężką ranę, nosząc futro, i zbroczyć je własną świeżą krwią.
H3	Płaszcz Mrocznego Wędrowca
P	Ładunki ◇◇◇◇
P	Gdy <b><i>otwierasz sobie żyły i skrapiasz</i></b> <b><i>futro własną świeżą krwią,</i></b> strać 1d8 HP i zaznacz osłabienie. Jeśli płaszcz nie ma Ładunków, zyskuje 1d4 Ładunki. Blizny po ranie są jaskrawobiałe i nigdy nie bledną.
P	Gdy <b><i>otrzymujesz cios lub fizyczną ranę, mając</i></b> <b><i>na sobie Płaszcz Mrocznego Wędrowca</i></b>, traci on 1 Ładunek, a ty zmieniasz się w obłok cienia. Mimo wszystko nie odnosisz obrażeń i przez kilka sekund możesz śmigać i latać, zanim na powrót przybierzesz postać. Wszystko, czego dotkniesz w tej cienistej postaci, pokrywa się szronem. Efekt nie zachodzi, jeśli futro nie ma Ładunków.
P	Gdy <b><i>bezpośrednie światło słoneczne lub święte dotknie</i></b> <b><i>Płaszcza Mrocznego Wędrowca,</i></b> albo <b><i>założy go ktokolwiek poza tobą</i></b>, traci on wszystkie Ładunki.
