# minor-fear-of-the-flame · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: e0036e18eab23510943f7e73c7b546369103b85f2ec11ba048a03f9b327a176e
# title: Lęk przed Płomieniem
# nav_label: Lęk przed Płomieniem
# description: Lęk przed Płomieniem (Fear of the Flame), mniejsze arkanum ze Stonetop: tkany dywan z runami Twórców, który budzi w innych pierwotny lęk przed ogniem.
PAGE	512
H3	Bogato tkany dywan
P	◇◇, <i>magiczny</i>
P	Po rozwinięciu mniej więcej 1,2 na 2 metry, utkany w stylizowane wzory ognia i płomieni. W splocie widać migoczące runy Twórców, zawsze nieostre, ale zdradzające ukrytą moc.
P	Możesz odkryć sekrety tego dywanu, ale najpierw musisz…
C	… zostać naznaczony ogniem, zatracając się w panice lub bólu płonięcia.
C	… następnie spędzić tygodnie na medytacji na dywanie i studiowaniu teraz już wyraźnych run.
C	… pozwolić, by poparzył cię straszliwy płomień, nie wydając krzyku i panując nad strachem.
H3	Lęk przed Płomieniem
P	Żar: ◇◇◇◇◇◇
P	Gdy <b><i>spędzasz mniej więcej godzinę na dywanie, medytując nad lękiem przed ogniem, który odczuwają wszystkie</i></b> <b><i>stworzenia natury</i></b>, zyskujesz Grozę i zaznaczasz 1 Żaru.
P	◇ <b>Groza</b>: gdy <b><i>uwalniasz Grozę,</i></b> <b><i>którą masz</i></b>, wszyscy, którzy cię widzą, boją się ciebie tak, jak baliby się pradawnego płomienia, dopóki nie odwołasz efektu.
P	Gdy <b><i>odwołujesz efekt</i></b>, rzuć 1d6. Jeśli wynik jest mniejszy niż twój Żar, wyczyść cały swój Żar, a na twoim ciele boleśnie ujawnia się trwały znak twojej więzi z płomieniami: pęcherzowata blizna, czerwonawa skóra, jarzące się oczy, siarkowa woń itd.
P	Gdy <b><i>mija pora roku, a ty nie uwalniasz</i></b> <b><i>Grozy</i></b>, zmniejsz swój Żar o 1.
