# minor-flaming-sword · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 61007e396dda1a172bb1cb4589484548a027f8d49c7d40d86f0751366e7df02a
# title: Płonący Miecz
# nav_label: Płonący Miecz
# description: Płonący Miecz (Flaming Sword), mniejsze arkanum: zardzewiałe stalowe ostrze z duchem ognia, który rozpala się z każdym starciem.
PAGE	534
H3	Zardzewiałe stalowe ostrze
P	◇, <i>blisko</i>, <i>prymitywny</i>
P	Najwyraźniej było to niegdyś przednie, przednie ostrze. Stal nosi wzór runicznych zawijasów, przynajmniej tam, gdzie nie zżarła jej rdza. Rękojeść jest poczerniała, ze śladami skórzanego owinięcia, które dawno temu spłonęło. Metal jest gorący w dotyku, jakby leżał godzinami w letnim słońcu.
P	Aby odkryć tajemnice tej broni, musisz…
C	… odnowić ostrze, co wymaga dostępu do kuźni, kilku tygodni pracy i niemałych umiejętności.
C	… porozumieć się z duchem ognia w stali (<b>Instynkt</b> szukać chwały) i przekonać go, że jesteś godzien władać ostrzem.
C	… zdobyć pochwę, która wytrzyma ogień i żar kuźni.
H3	Płonący Miecz
P	◇, <i>blisko</i>, <i>piękny</i>, +1 obrażeń, 1 przebijający
P	Żar: ◇ zero, ◇ 1d4, ◇ 1d6, ◇ 1d8, ◇ 1d10
P	Gdy <b><i>wzywasz ducha ognia, który w nim mieszka,</i></b> ostrze bucha płomieniami (+<i>magiczny</i>, +<i>niebezpieczny</i>) i daje światło (<i>zasięg</i>, <i>obszar</i>). Rękojeść się nagrzewa; noś grube rękawice!
P	Gdy <b><i>Zwierasz Się Płonącym Mieczem</i></b>, po rozstrzygnięciu ruchu i zadaniu obrażeń podnieś kość Żaru o jeden stopień.
P	Gdy <b><i>rzucasz, by wykonać ruch, dzierżąc</i></b> <b><i>miecz</i></b>, otrzymujesz obrażenia równe kości Żaru (ignoruje pancerz).
P	Gdy <b><i>zadajesz mieczem obrażenia</i></b>, dodaj kość Żaru.
P	Gdy <b><i>chowasz miecz do pochwy</i></b>, ogień gaśnie i nie można go ponownie rozpalić, dopóki kość Żaru nie spadnie do zera.
P	Raz na godzinę obniż kość Żaru.
