# minor-horn-of-storms · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 9bf1be51f0e509e32c9e0455add3e1a9f8143d89beafa92f9249e7bb22b4f6b1
# title: Róg Burz
# nav_label: Róg Burz
# description: Róg Burz (Horn of Storms), mniejsze arkanum ze Stonetop: wyborny róg do picia od dziewięciopalcego nieznajomego, który przywołuje burzę.
PAGE	535
H3	Wyborny róg do picia
P	◇, <i>piękny, magiczny</i>
P	Dostałeś go od nieznajomego. No, może w zakładzie albo w zawodach, albo w podzięce za jakąś przysługę. A może wziąłeś go bez jego zgody? Tak czy inaczej, był jakiś skryty w sprawie rogu, niemal rad, że może ci go oddać. A tuż przed tym, jak się rozstaliście, zauważyłeś brakujący palec u jego lewej dłoni.
P	Od tamtej pory róg zdaje się cię wzywać, prowokując, byś pił z niego obficie. By odkryć jego tajemnice, musisz...
C	… napełnić go whisky albo podobnie mocnym trunkiem.
C	… wypić zawartość jednym haustem (zaznacz <i>oszołomiony</i>).
C	… zaryzykować utratę przytomności, zrobienie z siebie głupca albo przynajmniej zaznaczenie kolejnych osłabień.
C	… przetrwać burzę, którą w efekcie przywołasz (zob. rewers).
H3	Róg Burz
P	Gdy <b><i>porządnie się upijesz z</i></b> <b><i>rogu,</i></b> zaznacz osłabienie. Przywołujesz burzę, której środkiem jest twoje położenie. Rzuć cztery d4. Za każde dodatkowe osłabienie, które zaznaczysz, rzuć dodatkową d4.
P	<b><i>Dopóki burza nie minie</i></b>, nie możesz czyścić osłabień.
P	Przypisz po jednej d4 do każdego z poniższych:
P	____ <b>Nadejście: 1</b> = następnego dnia; <b>2-3</b> = za kilka godzin; <b>4</b> = w ciągu godziny.
P	____ <b>Siła: 1</b> = niebezpiecznie być na zewnątrz;
P	<b>2-3</b> = uszkadza słabe budowle; <b>4</b> = obraca w ruinę słabe budowle i uszkadza solidne.
P	____ <b>Zasięg: 1</b> = około 1,5 km; <b>2-3</b> = kilkanaście kilometrów; <b>4</b> = dziesiątki lub setki kilometrów.
P	____ <b>Czas trwania</b> (gdy już się rozszaleje)<b>: 1</b> = mniej niż godzina; <b>2-3</b> = kilka godzin; <b>4</b> = mniej więcej dzień.
P	56
