# minor-impudent-polymorph · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: d418e372accf9b344648e18b2c42a0474738ed2bbc2ebe54bb17cc7637273425
# title: Zuchwała Przemiana
# nav_label: Zuchwała Przemiana
# description: Zuchwała Przemiana (Impudent Polymorph), mniejsze arkanum ze Stonetop: dzban z uwięzionym duchem Zielonego Władcy, którego można zmusić, by zmienił twoją postać.
PAGE	525
H3	Duży drewniany dzban
P	◇◇ <b>,</b> <i>nieporęczny</i><b>,</b> <i>kruchy</i><b>,</b> <i>magiczny</i>
P	Wysoki na 75 cm, wyrzeźbiony z cisu, z pokrywą w kształcie rogatego lwa, zapieczętowaną woskiem.
P	Jego powierzchnia jest popękana i najeżona odłamkami czerwonego kryształu. Gdy go dotykasz, czujesz wielką irytację i odrobinę strachu.
P	By odkryć tajemnice dzbana, musisz…
C	… obmyć jego powierzchnię własną świeżą krwią (strać 1d10 HP i zaznacz osłabienie).
C	… porozumieć się z duchem wyniosłego Zielonego Władcy, z którym ten dzban jest związany.
C	… nauczyć się używać czerwonych kryształów, by dręczyć ducha Zielonego Władcy.
C	… przekonać uwięzionego ducha Zielonego Władcy, by zmienił twoją postać.
P	Jeśli <b><i>dzban zostanie otwarty</i></b>, cała jego magia przepada.
H3	Zuchwała Przemiana
P	Gniew ◇◇◇◇◇◇◇◇◇
P	Gdy <b><i>przerywasz sielankowe zaświaty</i></b> <b><i>Zielonego Władcy uwięzionego w dzbanie i żądasz, by</i></b> <b><i>zmienił twoją postać,</i></b> opisz zmianę i wybierz tyle, ile się odważysz:
B	Zmiana trwa tak długo, jak chcesz (w przeciwnym razie trwa, dopóki nie wyrzucisz 6- na jakimś ruchu)
B	Zmiana jest szybka i łatwa (w przeciwnym razie trwa minuty, a nawet godziny)
B	Szybko przywykasz do nowej postaci (w przeciwnym razie zaznacz osłabienie)
B	Wybierz 2 swoje cechy; zamień ich wartości do końca zmiany
P	Potem rzuć +CHA: <b>przy 10+</b> duch dokonuje zmiany dokładnie tak, jak prosiłeś; <b>przy 7-9</b> dokonuje zmiany, ale zyskujesz tyle Gniewu, ile dokonałeś wyborów; <b>przy 6-</b> duch się buntuje i szarpie twoim ciałem, zadając 1d10 obrażeń za każdy punkt Gniewu, który masz. Jeśli przeżyjesz, usuń cały Gniew.
