# minor-make-pliant-the-stone · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: ac4fc700bfc59b84c1f1deba10f5ade21b8f93ac98e32c02d6ebc96a20322ed2
# title: Zmiękczenie Kamienia
# nav_label: Zmiękczenie Kamienia
# description: Zmiękczenie Kamienia (Make Pliant the Stone), mniejsze arkanum ze Stonetop: dzwon ze szkła Twórców, którego dźwięk czyni kamień miękkim jak glina.
PAGE	525
H3	Dzwon ze szkła Twórców
P	◇◇ <b>,</b> <i>niezniszczalny</i><b>,</b> <i>magiczny</i><b>,</b> <i>głośny</i><b>,</b> <i>niebezpieczny</i>
P	Walec długi na około 1,2 m i szeroki na 7,5 cm, o zaskakująco cienkim szkle. Uderzony lekko, wydaje głęboki, dźwięczny ton. Uderzony mocno, brzmi niemal ogłuszająco i sprawia, że na powierzchni pobliskiego kamienia, kryształu lub zwykłego szkła pojawia się falujący wzór.
P	Dzwon to potężne narzędzie, jeśli zdołasz odkryć jego sekrety. W tym celu…
C	… chwyć go mocno i wymierz solidne, potężne uderzenie, rzucając +CON: <b>przy 10+</b> udaje ci się; <b>przy 7-9</b> zaznacz osłabienie – musisz spróbować ponownie; <b>przy 6-</b> zapytaj MG, co idzie strasznie nie tak.
C	… poświęć mniej więcej tydzień na naukę panowania nad dźwięczącym dzwonem.
C	… podczas ćwiczeń ryzykujesz trwałe uszkodzenie słuchu i poważne zniszczenia wszystkiego w pobliżu.
H3	Zmiękczenie Kamienia
P	Gdy <b><i>uderzasz mocno w dzwon i siłą woli</i></b> <b><i>utrzymujesz go w uchwycie</i></b>, zaznacz osłabienie i rzuć +CON.
P	<b>Przy 10+</b> zachowujesz kontrolę, a dzwon dźwięczy przez mniej więcej minutę. Dopóki dźwięczy, każdy kamień, kryształ lub szkło, którego dotkniesz dzwonem, staje się miękkie i plastyczne, łatwe do kształtowania i modelowania. Im dłuższy kontakt, tym więcej materiału mięknie. Odzyskuje twardość, gdy dźwięk ucichnie, ale zachowuje obecny kształt.
P	<b>Przy 7-9</b> wybierz 1:
B	Zachowujesz kontrolę jak przy 10+, ale musisz włożyć w to całego siebie – zaznacz kolejne osłabienie
B	Uświadamiasz sobie, że nie zapanujesz nad nim, i tłumisz dzwon, zanim wyrządzi szkodę (powiedz, jak)
P	36
