# minor-mantle-wraiths · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: Zjawy Płaszcza
# nav_label: Zjawy Płaszcza
# description: Zjawy Płaszcza (Mantle Wraiths), mniejsze arkanum ze Stonetop: postrzępiony płaszcz z przywiązanymi do niego wygłodniałymi zjawami, które służą ci jak stronnicy.
PAGE	512
H3	Postrzępiony płaszcz
P	◇, <i>ciepły, magiczny</i>
P	Znaleziony na szkielecie ogołoconym z ciała, na którego kościach widnieje coś, co można nazwać tylko śladami zębów. Uważne oględziny płaszcza ujawniają znaki wyszyte srebrzystą nicią i ludzkie zęby naszyte na frędzlach jak ozdobne paciorki.
P	Możesz odkryć moc tego płaszcza, …
C	… nosząc go przez trzy dni i trzy długie, długie noce, przecierpiawszy koszmary.
C	… poskramiając śliniące się zjawy, które są do niego przywiązane.
H3	Zjawy Płaszcza
P	Gdy <b><i>spuszczasz ze smyczy zjawy przywiązane do</i></b> <b><i>płaszcza</i></b>, traktuj je jak stronników. Niechętnie wracają do płaszcza; musisz wydać ich Lojalność albo je Przekonać.
ICON	icons/spirit.svg
H3	Zjawy płaszcza
P	<i>Grupa</i> (3), <i>duch, nieumarły, przerażający, zajadły</i>
P	<b>HP</b> 13; <b>Pancerz</b> 1 (bezkształtne)
P	<b>Obrażenia</b> wysysanie życia d8 (<i>ręka</i>, ignoruje pancerz)
P	<b>Instynkt</b> szaleć bez opamiętania
P	<b>Cechy szczególne</b> bezsilne za dnia
P	• Szeptać noszącemu o swoich pragnieniach
P	• Przybrać postać z cienia i chłodu (ranią je tylko srebro i sól)
P	• Rzucać się na żywych
P	• Wysysać żywotność z ofiary
P	<b>Cena</b> pożarte dusze (Lojalność ◇◇◇ )
P	<b>HP</b>
P	Na początku po 13 każda
P	10
