# minor-old-mothers-wine · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 2a1fb6bb8a668b001934fcc1a2ed1b87ae5aeb910ca76991fe2a3012dab29ad3
# title: Wino Starej Matki
# nav_label: Wino Starej Matki
# description: Wino Starej Matki (Old Mother's Wine), mniejsze arkanum ze Stonetop: przepis na bzowe wino pełne magii Fae, które otwiera oczy na domeny Fae.
PAGE	509
H3	Mała, dziwna książka mała, dziwna książka
P	<i>krucha</i>
P	Mały podręcznik spisany na czymś, co wygląda na arkusze giętkich liści. Napisany jest zwykłym pismem, ale w dziwnie poetyckim ciągu bezsensownych sylab.
P	Podręcznik zdradza przepis na wino z czarnego bzu, przepełnione magią Fae, ale by poznać przepis, albo...
C	… potrzebujesz pomocy poety Fae, a może kogoś z Ludu Lasu; albo...
C	… ryzykujesz, że źle odczytasz przepis, trując lub przeklinając każdego, kto wypije uwarzone przez ciebie wino.
H3	Wino Starej Matki
P	Utracone wspomnienia: ◇◇◇◇◇◇
P	Gdy <b><i>poświęcasz wspomnienie obsypanemu jagodami</i></b> <b><i>krzewowi bzu</i></b>, powiedz nam, czego się wyrzekłeś. Zaznacz 1 utracone wspomnienie i rzuć 1d6; jeśli wyrzucisz mniej, niż masz utraconych wspomnień, zmień swój instynkt i wyczyść znaczniki.
P	Gdy <b><i>zbierzesz jagody i spędzisz porę roku</i></b> <b><i>na robieniu z nich wina</i></b>, zyskujesz bukłak Wina Starej Matki (5 użyć, magiczne).
P	Gdy <b><i>upijasz się Winem Starej Matki</i></b>, zużyj jedno użycie. Przez noc i dzień twoje oczy są otwarte na magię Fae, co oznacza, że:
B	Widzisz prawdę kryjącą się za iluzjami i czarami Fae
B	Jesteś odporny na zaklęcia Fae
B	Możesz swobodnie wkraczać do domen Fae i chodzić ścieżkami Fae
B	Czas w domenach Fae płynie dla ciebie normalnie
