# minor-runes-of-creation · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: d21e81fbeb568983fe157e242c9d45800dcfdebd7ac91503eaae5d095b20bf9e
# title: Runy Stworzenia
# nav_label: Runy Stworzenia
# description: Runy Stworzenia (Runes of Creation), mniejsze arkanum ze Stonetop: metalowa szkatułka-łamigłówka kryjąca runy, które przekształcają przedmioty.
PAGE	539
H3	Metalowa szkatułka-łamigłówka
P	◇, <i>niezniszczalna</i>
P	Sześcian z matowego szarego metalu o boku 15 cm, pokryty zawiasami, gałkami, tarczami, suwakami, dźwigniami i tym podobnymi. Dzieło szalonego geniuszu, opierające się wszelkim próbom otwarcia go siłą.
P	By odkryć jego tajemnice, musisz...
C	… rzucić +INT, by otworzyć szkatułkę: <b>przy 10+</b> zajmuje to kilka dni majstrowania; <b>przy 7-9</b> zajmuje to kilka tygodni obsesyjnej pracy; <b>przy 6-</b> to cię przerasta.
C	… spędzić porę roku na odszyfrowywaniu symboli wyrytych od wewnątrz.
C	… zaryzykować, że nigdy nie odszyfrujesz symboli, i/lub że przy tym nabawisz się jakiegoś umysłowego dziwactwa.
C	… porozumieć się z pierwotnym duchem i nauczyć się od niego Milczących Słów.
C	… spędzić kilka tygodni na ćwiczeniu zaklęcia, ryzykując wszelkiego rodzaju krzywdy i szkody uboczne.
H3	Runy Stworzenia
P	Gdy <b><i>starannie wypisujesz na przedmiocie</i></b> <b><i>runy stworzenia</i></b>, wybierz 1 pożądany efekt:
B	Przybierze dowolny kształt, jaki sobie wyobrazisz
B	Stanie się <i>niezniszczalny</i>
B	Stanie się <i>piękny</i>
B	Rozpali się straszliwym żarem (1d10 obrażeń, <i>krwawy</i>), choćby tylko na chwilę
P	Gdy <b><i>wypowiadasz Milczące Słowo, które dopełnia</i></b> <b><i>zaklęcia</i></b> (zasięg <i>daleko</i>), zaznacz osłabienie, gdy siły żywiołów przepływają przez ciebie do przedmiotu. Efekt działa, ale rzuć +CON: <b>przy 10+</b> wybierz 1; <b>przy 7-9</b> wybierz 1, a MG wybiera kolejne; <b>przy 6-</b> wszystkie 3.
B	Zaznacz kolejne osłabienie i trać 1d10 HP
B	Żywioły szaleją, wywołując pożar/trzęsienie ziemi/lawinę/burzę itd.
B	Efekt trwa tylko, dopóki się na nim skupiasz, a potem przedmiot zostaje uszkodzony w sposób wybrany przez MG
P	64
