# minor-sanctifying-mark · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: be2f4732f46299b0fcc0eac23b36eddd1b1727c923c31ddded33c7a14d5a95d6
# title: Znak Uświęcenia
# nav_label: Znak Uświęcenia
# description: Znak Uświęcenia (Sanctifying Mark), mniejsze arkanum ze Stonetop: sigil z pradawnego łuku na Trzęsawisku Ferriera, który odpędza istoty mroku, chaosu i śmierci.
PAGE	520
H3	Kruszący się łuk
P	<i>magiczny</i>
P	Na rzadkim suchym skrawku Trzęsawiska Ferriera (Ferrier's Fen), obleganym przez plugastwo, stoi pradawny łuk, który wciąż – wbrew wszelkiemu prawdopodobieństwu – się trzyma. Porosty i mech rosną na nim gęsto i bujnie, ale zwornik pozostaje czysty, wyryty sigilem, od którego łzawią oczy i który odpędza zło.
P	Możesz poznać tajemnice znaku uświęcenia, ale w tym celu musisz…
C	… oczyścić się w świeżej, czystej wodzie.
C	… uspokoić umysł, wpatrzyć się w sigil i rzucić +WIS: <b>przy 10+</b> sigil staje się jasny; <b>przy 7-9</b> sigil stanie się jasny po kilku kolejnych dniach kontemplacji;
P	<b>przy 6-</b> nauczenie się sigilu przekracza twoje możliwości.
C	… spędzić kilka dni na zapamiętywaniu i ćwiczeniu sigilu.
H3	Znak Uświęcenia
P	Gdy <b><i>naznaczasz przedmiot sigilem</i></b> <b><i>uświęcenia</i></b>, odpycha on istoty mroku, chaosu i śmierci. Za każdym razem, gdy stawiasz znak, jakaś część ciebie (oczy, włosy, skóra, język itd.) blednie, z czasem stając się uderzająco biała.
P	Gdy <b><i>istota mroku, chaosu lub śmierci po raz pierwszy</i></b> <b><i>wystawia na próbę moc twojego znaku</i></b>, rzuć +INT: <b>przy 10+</b> wszystkie takie istoty są trzymane na dystans, dopóki twój znak pozostaje nienaruszony; <b>przy 7-9</b> takie istoty czują chęć ucieczki i na razie są powstrzymywane, ale potężne byty mogą zmusić się, by to zignorować.
