# minor-shell-game-of-souls · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 28ab5d54aed35c5cfa8bfa1dbac3edc6425fd9510c73e3cc9c451679bb5792e4
# title: Gra w Trzy Kubki o Dusze
# nav_label: Gra w Trzy Kubki o Dusze
# description: Gra w Trzy Kubki o Dusze (Shell Game of Souls), mniejsze arkanum ze Stonetop: runy w jaskini, które uczą wiązać dusze umierających z własnym ciałem.
PAGE	510
H3	Ryty w jaskini
P	Na dnie zapadliska jest wapienna jaskinia.
P	Pod jedną ze ścian osunął się butwiejący szkielet, noszący ślady powieszenia. W ściany jaskini wyryto jednak runy, pokryte nalotem mineralnym.
P	Możesz przestudiować runy i poznać skrywane przez nie sekrety, ale...
C	… musisz starannie odnowić runy przez kilka tygodni pracy.
C	… podczas pracy ryzykujesz ich zniszczenie.
C	… musisz odcyfrować stare pismo, podobne do run Władców Kamienia (Stone Lords).
C	… potem zajmie to kilka dni nauki.
H3	Gra w Trzy Kubki o Dusze
P	Dusze (maks. CON): ◇◇◇
P	Gdy <b><i>dotykasz umierającej, rozumnej istoty, wypowiadając jej imię i słowa wiązania</i></b>, rzuć +INT:
P	<b>przy 10+</b> wiążesz jej duszę ze swoim ciałem; <b>przy</b> <b>7-9</b> wiążesz jej duszę, ale osłabiasz własną – zmniejsz swoje maksymalne HP o 1d4+1.
P	Twoje ciało może związać tyle dusz, ile wynosi twoja CON. Objawiają się w snach i walczą o kontrolę, gdy twój umysł lub ciało słabną. Wpisz tu ich imiona:
P	Gdy <b><i>wyrzucisz 6- przy U Progu Śmierci</i></b>, możesz uwolnić związaną duszę, by przeszła przez Ostatnie Wrota (Last Door) zamiast ciebie. Jeśli to zrobisz, przeżywasz, jakbyś wyrzucił 7-9. Twoje ciało wciąż jednak nosi ślady tego, co by cię zabiło.
