# minor-staff-of-magnetism · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 8cc5cdae8c1c13fa439033cfa8f8683c699c1b57c54e223b26cca235dfe23f8f
# title: Laska Magnetyzmu
# nav_label: Laska Magnetyzmu
# description: Laska Magnetyzmu (Staff of Magnetism), mniejsze arkanum ze Stonetop: dębowa laska w miedzianych obręczach, która ładuje się piorunem i porusza żelazem.
PAGE	531
H3	Laska w miedzianych obręczach
P	◇, <i>magiczna</i>
P	Krótka laska, wysoka na około 1,2 m, zwężająca się ku czubkowi, z poczerniałego dębu o dziwnym metalicznym połysku. Zdobi ją tuzin obręczy ze skorodowanej miedzi, oblepionych patyną i miejscami kruszących się. Obręcze pokrywają wytłoczone runy mocy, niektóre starte albo zatarte.
P	Laska wciąż mrowi mocą. By odkryć jej tajemnice, musisz…
C	… odgadnąć kształt brakujących i uszkodzonych run.
C	… zastąpić obręcze nowymi, z eterium, z wytłoczonymi runami.
C	… mocno trzymać laskę, gdy przebiega przez nią piorun, dostrajając się do jej magii (ryzykujesz poważne oparzenia albo przynajmniej to, że się wzdrygniesz i ją puścisz).
C	… spędzić kilka dni na ćwiczeniach z naładowaną laską.
H3	Laska Magnetyzmu
P	Ładunek: ◇◇◇
P	Gdy <b><i>przez laskę przebiega piorun,</i></b> zyskuje ona
P	3 Ładunku (maks. 3).
P	Gdy <b><i>laska ma Ładunek, a ty skupiasz przez nią</i></b> <b><i>wolę i zmysły</i></b>, możesz wyczuwać żelazo, stal, kobalt i nikiel w zasięgu <i>niedaleko</i> i poruszać takimi przedmiotami powoli i niezgrabnie. Możesz manipulować tylko przedmiotami, które zdołałbyś podnieść jedną ręką.
P	Gdy <b><i>sięgasz po moc zgromadzoną w</i></b> <b><i>lasce</i></b>, wybierz 1:
B	Rozciągnij jej działanie do zasięgu <i>daleko</i>
B	Poruszaj przedmiotami szybko i gwałtownie, dość szybko, by atakować lub się bronić (<i>niebezpieczne</i>)
B	Manipuluj przedmiotem o znacznej masie, tak ciężkim, jak to, co zdołasz dźwignąć z ziemi
P	Za każdym razem, gdy sięgasz po moc laski, rzuć
P	1d6. Jeśli wyrzucisz więcej, niż wynosi obecny
P	Ładunek laski, traci ona 1 Ładunku.
P	48
