# minor-the-angry-little-god · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 88d53588c10dc1a839f293567109e92fa9d5c061f1a36b7b986df544b1561987
# title: Gniewny Bożek
# nav_label: Gniewny Bożek
# description: Gniewny Bożek (The Angry Little God), mniejsze arkanum ze Stonetop: kamienny posążek, w którym tkwi narcystyczny mały Fae.
PAGE	538
H3	Kamienny bożek
P	◇, <i>prymitywny, magiczny</i>
P	Znaleziony w głębi jakiejś jaskini lub groty, przysłonięty korzeniami i gruzem, otoczony wyschniętymi, gnijącymi ofiarami. Toporna, przysadzista rzecz o szyderczym pysku oposa, ciernistym ogonie i kwiatach zamiast uszu.
P	Bożek to w istocie narcystyczny mały Fae, uwięziony (ukryty? uparcie usadowiony?) w postaci kamiennego posążka. By odkryć jego „tajemnice” i korzystać z jego opieki, musisz…
C	… odnowić kapliczkę, znosząc obelgi jej gniewnego bożka.
C	… wydobyć bożka z kamienia i gruzu, w których tkwi, ryzykując, że go uszkodzisz/znieważysz.
C	… podstępem nakłonić bożka do przyjęcia ofiary, która uczyni go twoim trwałym dłużnikiem. Jedzenie i/lub whisky o wartości 1 Nadwyżki powinny wystarczyć.
H3	Gniewny Bożek
P	Gdy <b><i>stawiasz bożka w widocznym miejscu i</i></b> <b><i>błagasz go, by raczył zająć się swym pokornym sługą,</i></b> budzi się (ale pozostaje bezwładny). Traktuj go jak stronnika, choć on sam trudno by się za takiego uważał.
ICON	icons/fae.svg
H3	Wszechmocny Ostowąs (Thistlewisk)
P	<i>Fae, maleńki, magiczny, podstępny, arogancki</i>
P	<b>HP</b> 15; <b>Pancerz</b> 6 (kamień, odporność), 2 przeciw żelazu <b>Cechy szczególne</b> bezwładny; bezcielesny głos <b>Instynkt:</b> obsypywać wyznawców obelgami
P	• Stawiaj nierozsądne żądania
P	• Pochłaniaj esencję pożywienia
P	• Wyczuwaj czyjeś luźne myśli/wspomnienia
P	• Snuj potężne iluzje i halucynacje (<i>niedaleko</i>, <i>obszar</i>)
P	• Znudź się/obraź i zaśnij
P	<b>Cena</b> hołdy i coraz większe ofiary z jedzenia (Lojalność: ◇◇◇ )
P	<b>HP</b>
P	Na początku 15
