# minor-the-green-lords-shade · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: Cień Zielonego Władcy
# nav_label: Cień Zielonego Władcy
# description: Mniejsze arkanum Cień Zielonego Władcy (The Green Lord's Shade): dziwna rogata czaszka, której cień zna dawne czasy – za cenę „jazdy” na twoim ciele.
PAGE	520
H3	Dziwna czaszka z porożem
P	<i>nieruchoma, magiczna</i>
P	Czaszka wielkości końskiego łba, choć z pewnością nie koński – ani smoczy, ani wilczy, ani niedźwiedzi. Żadna z tych bestii nie nosiłaby bowiem tak potężnego poroża jak to przytwierdzone do tej czaszki.
P	Przyglądając się z bliska, dostrzega się sploty i skręty starożytnych glifów wyrytych w kości. Ci, którzy przebywają w jej obecności, często czują przeciąg, jakby ktoś zostawił uchylone drzwi.
P	Aby odkryć sekrety tej relikwii, …
C	… musisz poznać imię cienia, do którego należała ta czaszka; albo…
C	… użyć ruchu Błogosławionego Wezwanie Duchów, by przywołać cień.
H3	Cień Zielonego Władcy
P	Gdy <b><i>składasz ofiarę z dobrego trunku, świeżych</i></b> <b><i>owoców lub świeżo upieczonego mięsa i przywołujesz cień</i></b> <b><i>czaszki</i></b>, ukazuje się przed tobą w cieniach.
P	Cień wie wiele o dawnych czasach, o Zielonych Władcach (Green Lords) i ich dziełach. Nie ma żadnej mocy, ale może odpowiadać na pytania. Zanim to zrobi, zażąda prawa, by cię „dosiąść” i zakosztować przyjemności życia. (<b>Instynkt</b> zaspokajać coraz bardziej wyszukane pragnienia.)
P	Gdy cię dosiada, cień porozumiewa się tylko poprzez popędy i pragnienia. Gdy <b><i>zmusza cię</i></b> <b><i>do działania wbrew twojej woli</i></b>, zaznacz XP, jeśli się podporządkujesz. Jeśli się opierasz, Stawiasz Czoła Niebezpieczeństwu.
