# minor-thunderous-bellow · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: Gromki Ryk
# nav_label: Gromki Ryk
# description: Gromki Ryk (Thunderous Bellow), mniejsze arkanum ze Stonetop: zaklęcie z brązowej tablicy, które zamienia twój głos w ogłuszający grzmot.
PAGE	510
H3	Na wpół zakopana tablica
P	◇◇, <i>nieporęczna</i>, <i>magiczna</i>
P	Brązowa płyta wystająca z ziemi, gdzieś na Równinach albo nad Straszliwą Rzeką. Jest wgnieciona, nieco wypaczona, a na jej powierzchni wyryto runy Twórców i tajemne diagramy. Jak, u licha, się tu znalazła?
P	Płyta zawiera zapis zaklęcia, którego możesz się nauczyć, ale…
C	… najpierw musisz odkopać i oczyścić płytę.
C	… musisz odcyfrować runy Twórców.
C	… zajmie to kilka tygodni nauki.
C	… ćwicząc, ryzykujesz uszczerbek na głosie, słuchu i/lub sąsiadach.
H3	Gromki Ryk
P	Gdy <b><i>przywołujesz pierwotną burzę i wydajesz</i></b> <b><i>gromki ryk</i></b>, otrzymujesz 1d6 obrażeń (ignoruje pancerz) i rzuć +CON: <b>przy 10+</b> każdy w pobliżu (oprócz ciebie) musi wybrać 2; <b>przy 7-9</b> każdy w pobliżu (oprócz ciebie) musi wybrać 1.
B	Upuścić to, co niesie, i zatkać uszy
B	Zostać na kilka chwil ogłuszonym i zdezorientowanym
B	Zatoczyć się kilka kroków od ciebie 6
