# minor-unliving-chimera · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 0ee8ebf89a532ca42c4593e9ba1456cd185ac3dbb0223592faddbf06bdb681eb
# title: Nieożywiona Chimera
# nav_label: Nieożywiona Chimera
# description: Nieożywiona Chimera (Unliving Chimera): mniejsze arkanum – zardzewiały kocioł, w którym z kości zwierząt i twojej krwi powstaje nieumarły stronnik.
PAGE	524
H3	Zardzewiały kocioł
P	<i>nieruchomy, magiczny</i>
P	Na tyle duży, że dorosły mężczyzna zmieściłby się w środku, poorany i porysowany, grawerowany w zawiłe wzory przypominające runy. Cały pokryty jest skorupą rdzy. A przynajmniej masz nadzieję, że to rdza.
P	Bije od niego coś złowrogiego i wyczuwasz jego moc. Aby odkryć tajemnice kotła, musisz…
C	… dokładnie wyszorować kocioł z rdzy.
C	… spędzić siedem nocy, śpiąc w kotle i śniąc plugawe sny, za każdym razem zaznaczając osłabienie.
C	… ugotować kości zwierzęcia, które szczerze kochałeś lub ceniłeś, dodając trochę swojej świeżej krwi.
C	… podporządkować sobie nędzne stworzenie, które powstanie.
H3	Nieożywiona Chimera
P	Gdy <b><i>gotujesz w kotle kości zwierząt</i></b> <b><i>i wmieszasz w nie własną świeżą krew,</i></b> zaznacz do 3 osłabień. Z kotła powstaje nieożywiona chimera. Traktuj ją jak stronnika z tagiem dla każdego zwierzęcia, którego kości użyłeś (<i>niedźwiedziowaty</i>, <i>sowiaty</i> itd.).
P	Za każde zaznaczone osłabienie wybierz 1:
B	Jest stabilna (w przeciwnym razie rozpada się po jednym dniu)
B	Nie jest <i>niezdarna</i>
B	Zastąp jej instynkt słowami „unikać światła”
ICON	icons/undead.svg
H3	Nieożywiona chimera
P	<i>Nieumarły, konstrukt, przerażający, niezdarny</i>
P	<b>HP</b> 3; <b>Pancerz</b> 4 (0 przeciw brązowi)
P	<b>Obrażenia</b> zmienne, d6 (<i>ręka</i>, może inne)
P	<b>Instynkt</b> zdezorientować się i atakować na oślep
P	• Zrobić coś, co potrafi jedno ze zwierząt, z których się składa
P	• Jęczeć, żałośnie i niepokojąco
P	<b>Cena</b> mnóstwo świeżej krwi (Lojalność ◇◇◇ )
