# minor-void-elemental · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: a5b7491de500480f8caea17236bd08daec503d089f0d2cf902849bd36d89d1f1
# title: Żywiołak Pustki
# nav_label: Żywiołak Pustki
# description: Mniejsze arkanum Żywiołak Pustki (Void Elemental): korona z czarnego metalu i eterium, przez którą można przemówić do pierwotnego ducha pustki i go przywołać.
PAGE	539
H3	Przerośnięta korona
P	◇, <i>piękna, magiczna, ognioodporna</i>
P	Obręcz z czarnego, lśniącego metalu, osadzona ośmioma iglicami z eterium. Pasuje na głowę mniej więcej dwa razy większą od twojej i zawsze jest trochę chłodna w dotyku. Nawet wrzucona do najgorętszego pieca nie stopi się ani nawet nie nagrzeje.
P	Gdy <b><i>dotkniesz korony gołą skórą i</i></b> <b><i>otworzysz umysł</i></b>, możesz przemówić do pierwotnego ducha, do którego korona jest dostrojona. Ale by w pełni odkryć tajemnice tej korony, musisz…
C	… zaryzykować poczucie własnej tożsamości, obcując z tym duchem pustki.
C	… poznać Słowa Bytu, które zmuszą ducha, by się przejawił.
C	… poznać Słowa Niebytu, które odeślą ducha do domu.
C	… przekonać ducha, by się przejawił, a potem skutecznie go odprawić.
H3	Żywiołak Pustki
P	Lojalność: ◇◇◇
P	Gdy <b><i>dotykasz korony i wypowiadasz Słowa</i></b> <b><i>Bytu</i></b>, duch się przejawia. Traktuj go jako stronnika, który zaczyna z 3 Lojalności (nigdy nie może zyskać więcej). Gdy <b><i>dotykasz korony i intonujesz</i></b> <b><i>Słowa Niebytu</i></b>, duch może powrócić do pustki – jeśli chce.
ICON	icons/spirit.svg
H3	Żywiołak pustki
P	<i>Duch, pierwotny, zdezorientowany, rozgniewany</i>
P	<b>HP</b> 15; <b>Pancerz</b> 1 (brak narządów)
P	<b>Obrażenia</b> dotyk pustki 1d10 z przewagą (<i>ręka</i>, <i>chwytny</i>, ignoruje pancerz)
P	<b>Cechy szczególne</b> odporny na większość obrażeń <b>Instynkt</b>: wściekać się na cały ten hałas i chaos
P	• Przejawić się jako czarna dziura w rzeczywistości
P	• Zdusić źródło energii
P	• Zagubić się, nie wiedząc, co robić
P	<b>HP</b>
P	Na początek 15
