# minor-ward-of-still-waters · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 197890ea2cfde61af3bd61249dd48a901e3e1e3585a461aa576eb0fa562368f1
# title: Osłona Stojących Wód
# nav_label: Osłona Stojących Wód
# description: Osłona Stojących Wód (Ward of Still Waters), mniejsze arkanum ze Stonetop: górska sadzawka nad magnetytem, której woda chroni umysł przed magią.
PAGE	514
H3	Czysta, naturalna sadzawka
P	Wysoko we wzgórzach strumień roztopowej wody wypełnia głęboką sadzawkę wśród skał, po czym płynie dalej. Na dnie sadzawki leży wielkie złoże magnetytu. Widać przylgnięte do niego stare, zardzewiałe ostrza (wiele z nich na miarę olbrzymów).
P	Jest tu magia; by odkryć jej sekrety, albo...
C	… spędź mniej więcej tydzień na eksperymentach przy sadzawce, a potem rzuć +INT: <b>przy 10+</b> rozgryzasz to; <b>przy 7-9</b> bez powodzenia; <b>przy 6-</b> przerywa ci niebezpieczeństwo; albo...
C	… zdobądź relację naocznego świadka użycia mocy sadzawki.
P	awers 14 rewers Zaczyna od 13
H3	Osłona Stojących Wód
P	Napięcie: ◇◇◇◇◇◇◇
P	Gdy <b><i>tniesz się żelazem lub stalą i wrzucasz</i></b> <b><i>zakrwawiony metal do sadzawki</i></b>, zawiązujesz więź z jej wodami. Dopóki nosisz przy sobie fiolkę wody z sadzawki, chroni cię osłona stojących wód.
P	Gdy jesteś tak chroniony i <b><i>działa na ciebie magia,</i></b> <b><i>która próbuje wyczuć twoje myśli, czyny lub emocje</i></b> <b><i>albo na nie wpłynąć</i></b>, magia zamiast ciebie trafia w stojące wody sadzawki – co może zbić z tropu jej źródło.
P	Za każdym razem, gdy osłona stojących wód cię chroni, zaznacz 1 Napięcie, a potem rzuć 1d6. Jeśli wynik jest niższy niż twoje obecne Napięcie, noszona przez ciebie woda traci moc. Gdy <b><i>wracasz do sadzawki</i></b> <b><i>i odnawiasz więź</i></b>, wymaż całe Napięcie.
