# minor-aetherium-spear · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 9d296a21c043dc11a04b767f26642e6653376d601794f8e5b0ae559f16370d3b
# title: A Lança de Etério
# nav_label: A Lança de Etério
# description: A Lança de Etério (Aetherium Spear), arcano menor de Stonetop: uma ponta de lança corroída que, restaurada e carregada de raios, fulmina os inimigos.
PAGE	531
H3	Uma ponta de lança corroída
P	◇ <b>,</b> <i>mágica</i>
P	Escondido em algum cofre, caverna ou ruína dos Construtores há um pedaço de cobre, muito corroído e coberto de crostas de azinhavre. Se você apertar os olhos, distingue vagamente o formato de uma ponta de lança.
P	Ah, e aqueles são leves vestígios de runas?
P	Para desvendar os segredos desta arma antiga, você precisa…
C	… limpar com cuidado a corrosão com os químicos adequados, sem destruir as runas no processo.
C	… decifrar as runas e como elas devem ser carregadas.
C	… infundir a ponta restaurada com um raio.
C	… montar a ponta numa haste de bétula.
C	… mergulhar a ponta no seu próprio sangue, para reivindicar o poder dela como seu.
H3	A Lança de Etério
P	◇, <i>perto</i>, <i>arremessável, mágica,</i> +1 de dano
P	Quando você <b><i>Cruza Lâminas com a lança de etério e</i></b> <b><i>tira 7+</i></b>, pode marcar uma debilidade para fulminar o inimigo com um raio, causando +1d6 de dano (<i>contundente</i>, <i>barulhento</i>).
P	Quando você aponta a lança de etério para os inimigos e solta um grito de guerra trovejante, marque uma debilidade e libere uma descarga de raio (<i>longe</i>, <i>área</i>, <i>contundente</i>, <i>barulhento</i>, <i>perigosa</i>), rolando +FOR para Disparar em vez de +DES (e você não pode escolher esgotar munição). <b>Com 6-</b>, além do que mais o mestre disser, a ponta fica sem poder e a haste de bétula vira cinzas — desmarque as 3 últimas caixas na frente desta carta.
