# minor-call-of-the-hunt · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: O Chamado da Caçada
# nav_label: O Chamado da Caçada
# description: O Chamado da Caçada (Call of the Hunt), arcano menor de Stonetop: uma pele de lobo habitada pelo espírito da Caçada, que transforma quem a veste em lobo e chama uma matilha.
PAGE	523
H3	Uma pele de lobo
P	<i>mágica</i>, <i>quente</i>
P	Devia ter sido uma fera majestosa, finamente preservada com pedras claras no lugar dos olhos e um fecho para usá-la como capa com capuz. Mas por mais que você esfregue, as manchas vermelhas nunca saem dos dentes.
P	A pele abriga um espírito poderoso, não só de um lobo, mas da própria Caçada. Para desvendar seus segredos, você precisa…
C	… caçar uma fera ao luar, sozinho, vestindo a pele.
C	… arrancar o fígado dela com as mãos nuas ou com os dentes e comê-lo cru.
H3	O Chamado da Caçada
P	Quando você <b><i>uiva para a lua nascente, com o rosto lambuzado</i></b> <b><i>de sangue e vestindo só a pele</i></b>, assume o aspecto de um lobo e chama uma matilha para o seu lado.
P	Nomeie sua presa e role...
E	+1 se você tem o cheiro dela;
E	+1 se ela está sozinha, mas -1 se não está; e
E	-1 se ela não temeria uma matilha de lobos.
P	<b>Com 7+</b>, você encurrala a presa e causa 2d6+4 de dano (<i>sujo</i>) antes que a matilha se disperse e você deixe de lado seu eu lobo; <b>com 10+</b>, escolha também 1;
P	<b>com 7-9</b>, escolha também 2.
B	Sua matilha estraçalha um ou mais inocentes
B	Você mesmo sofre 2d6+4 de dano <i>sujo</i>
B	Seu instinto passa a ser “agir como um lobo sanguinário” até você Subir de Nível.
P	<b>Com 6-</b>, sua presa escapa e você ainda precisa escolher 2 da lista acima.
P	32
