# minor-dancing-wind-spirit · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: f09662df8813cc8c620d5c4539c7c29978cbb4f49fd5bb8fb967be31eb57b511
# title: O Espírito do Vento Dançante
# nav_label: O Espírito do Vento Dançante
# description: O Espírito do Vento Dançante (Dancing Wind Spirit), arcano menor de Stonetop: uma flauta rachada que abriga um andalau, espírito de zéfiro travesso que atende quem toca a melodia certa.
PAGE	523
H3	Uma flauta rachada
P	◇, <i>rústico</i>, <i>mágica</i>
P	Uma flauta longa e grossa entalhada em sequoia, com uma rachadura fina mas visível na parte de baixo. Ela pega o vento com facilidade e faz um som agudo.
P	Qualquer um que toque algumas notas na flauta percebe que há magia aqui.
P	Quando você <b><i>passa alguns dias praticando, tocando</i></b> <b><i>a flauta onde o vento possa ouvi-lo</i></b>, role
P	+CHA: <b>com 10+</b>, marque 1 círculo; <b>com 7-9</b>, marque 1 círculo, mas você invoca um espírito de zéfiro irritado;
P	<b>com 6-</b>, você não avança em nada, mas consegue invocar um zéfiro irritado.
MARK	3
P	Quando você <b><i>marca os três círculos</i></b>, desvenda os mistérios da flauta.
H3	O Espírito do Vento Dançante
P	Quando você <b><i>toca uma melodia para fazer o próprio vento</i></b> <b><i>dançar</i></b>, o andalau (espírito de zéfiro) preso à flauta se manifesta. Trate-o como um seguidor; ele começa com
P	1 de Lealdade. Quando você <b><i>dispensa o espírito</i></b> <b><i>enquanto ele não guarda Lealdade alguma</i></b>, a flauta racha e se desfaz; o andalau é libertado.
ICON	icons/spirit.svg
H3	O Andalau da Flauta
P	<i>Espírito, minúsculo, furtivo, travesso</i>
P	<b>HP</b> 8; <b>Armadura</b> 0
P	<b>Dano</b> nenhum
P	<b>Instinto</b> brincar e folgazar
P	• Manifestar-se como uma rajada esvoaçante de vento (ferido só por sal)
P	• Entregar uma mensagem sussurrada
P	• Esvoaçar coisas por aí (poeira, folhas etc.)
P	• Irritar ou assustar alguém
P	<b>Custo</b> diversão (Lealdade ◇◇◇ )
P	<b>HP</b>
P	Starts at 8
