# minor-flying-cloak · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 3f5f1fb30efb279908bb3b21b89d5f607a270fba210be7356d732f1302884677
# title: O Manto Voador
# nav_label: O Manto Voador
# description: O Manto Voador (Flying Cloak), arcano menor de Stonetop: um manto bordado com runas de etério que prende um espírito de tempestade capaz de erguer seu mestre pelos ares.
PAGE	522
H3	Um manto ricamente bordado
P	◇, <i>mágica</i>, <i>quente</i>
P	Uma lã primorosamente fina, tingida de um azul-acinzentado claro e bordada com nuvens estilizadas. A borda ostenta runas branco-azuladas costuradas com fio de etério. Ele parece úmido, cheira a chuva e ozônio e tremula numa brisa que não existe.
P	Quando você <b><i>veste o manto</i></b>, percebe a presença presa nele, vibrando e impaciente. Para desvendar os mistérios do manto, você precisa...
C	… descobrir o nome do espírito preso.
C	… decifrar a palavra de comando, bordada em escrita antiga dos Construtores.
C	… dobrar o espírito à sua vontade, arriscando a fuga (destrutiva) dele.
H3	O Manto Voador
P	Quando você <b><i>veste o manto e pronuncia a palavra de</i></b> <b><i>comando</i></b>, o espírito de tempestade do manto ganha vida e o obedece como seguidor. Ele nunca quer pousar; você precisa gastar a Lealdade dele ou Persuadi-lo.
ICON	icons/spirit.svg
H3	O Espírito do Manto
P	<i>Espírito, mágico, orgulhoso, mudo</i>
P	<b>HP</b> 13; <b>Armadura</b> 1 (amorfo)
P	<b>Dano</b> vento, chuva e detritos açoitantes d6
P	(<i>próximo, área</i>)
P	<b>Instinto</b> “não ouvir” suas ordens
P	• Erguer seu mestre num colchão de ventos rodopiantes
P	• Manifestar uma tempestade enquanto voa
P	• Causar estragos ao redor
P	• Lançar raios de uma tempestade furiosa, d10+3 (<i>longe</i>, <i>contundente</i>, <i>recarga</i>)
P	<b>Custo</b> voar por aí durante horas (Lealdade ◇◇◇ )
P	<b>HP</b>
P	Starts at 13
