# minor-groundskimmer · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 9c7a664ddb726cc31d443a9a2dac8e99e10a0570c9fa11faab08631e1e96fcac
# title: O Rasante
# nav_label: O Rasante
# description: O Rasante (Groundskimmer), arcano menor de Stonetop: um estranho veículo de casco duplo revestido de etério que paira e navega pelo terreno como um barco.
PAGE	532
H3	Um veículo estranho
P	<i>grande, mágica, frágil</i>
P	É como duas daquelas canoas que usam em Beira-Brejo, mas maiores e com grandes barbatanas atrás.
P	Estão ligadas por vigas e uma plataforma montada em cima. Uma das canoas ostenta um mastro alto, partido ao meio, com um triângulo rasgado de pano ainda preso. Boa parte da madeira está apodrecida. As canoas são cintadas de etério e lastreadas com pedras.
P	Você suspeita que isto seja algum tipo de veículo, mas para desvendar seus mistérios você…
C	… precisa de um carpinteiro habilidoso, boa madeira (Valor 2), uma vela nova (Valor 1) e uma estação dedicada aos consertos.
C	… corre o risco de danificá-lo ainda mais e/ou de ver o veículo/o etério flutuar para longe.
C	… precisa se sintonizar com o etério, para controlar o quanto ele paira.
C	… e outra pessoa precisa passar uma estação aprendendo a pilotar a coisa, arriscando ferimentos e danos à embarcação.
H3	O Rasante
P	<i>grande, mágica, perigosa,</i> exige uma tripulação de 2 O rasante pode carregar mais ou menos o mesmo que uma carroça totalmente carregada. Quando você <b><i>segura o leme</i></b> <b><i>e se concentra</i></b>, pode ajustar o quanto o etério da embarcação repele a terra. Quando você <b><i>o ajusta corretamente</i></b> <b><i>para a carga atual</i></b>, ele paira a um par de metros do chão e consegue navegar pela paisagem. Com bom vento e em ritmo seguro, cruza a largura das Planícies em cerca de 8 horas. Navegar contra o vento é bem mais lento e exige um curso em ziguezague.
P	Mau tempo, alta velocidade, voar alto demais, terreno acidentado, desviar de obstáculos, danos, impactos e mudanças bruscas de carga envolvem Desafiar o Perigo (por você/sua tripulação/seus passageiros).
P	Navegar pela Grande Mata é impossível (densa demais). Sair das estradas nas Terras Escalonadas, nos Contrafortes ou nas montanhas é suicídio; mesmo seguir pelas Estradas dos Construtores nessas regiões é perigoso.
