# minor-shattering-words-of-aalz-childric · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 90466b869d4dd63fef8b8ba7510e93f81dd2542b6fdf5001cf81b04be76c218d
# title: As Palavras Estilhaçantes de Aalz Childric
# nav_label: As Palavras Estilhaçantes de Aalz Childric
# description: As Palavras Estilhaçantes de Aalz Childric (Shattering Words of Aalz Childric), arcano menor de Stonetop: runas gravadas em pedra que, ao ouvir a palavra-chave, despedaçam a rocha.
PAGE	513
H3	Pilares gravados com runas
P	<i>mágica</i>
P	Bem no fundo, sob um forte gigante em ruínas, há uma câmara abobadada, um dia um depósito, mas saqueada há muito, muito tempo. Um esqueleto de gigante jaz logo à entrada, de bruços, com o crânio e as costelas afundados.
P	Quatro pilares sustentam o teto, entalhados com uma série de runas enormes que vibram de poder. Você pode desvendar seus segredos, mas…
C	… precisa passar alguns dias estudando as runas e memorizando a sequência delas.
C	… precisa meditar por algumas semanas sobre a magia que as impregna.
C	… corre o risco de disparar o feitiço contido nas runas e desabar a estrutura inteira.
H3	As Palavras Estilhaçantes de Aalz Childric
P	Quando você <b><i>entalha as palavras estilhaçantes de Aalz</i></b> <b><i>Childric na pedra ou na rocha</i></b>, designe uma palavra ou frase-chave.
P	Quando você ou outra pessoa <b><i>pronuncia a palavra ou</i></b> <b><i>frase-chave e impõe a vontade de disparar o feitiço</i></b>, você rola
P	+CON: <b>com 10+</b>, a pedra entalhada com as runas se estilhaça e é imediatamente reduzida a escombros; <b>com 7-9</b>, a pedra racha e cede, quebrando-se devagar em vários pedaços.
