# minor-the-angry-little-god · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 88d53588c10dc1a839f293567109e92fa9d5c061f1a36b7b986df544b1561987
# title: O Deusinho Raivoso
# nav_label: O Deusinho Raivoso
# description: O Deusinho Raivoso (The Angry Little God), arcano menor de Stonetop: um ídolo de pedra que abriga um Fae narcisista, patrono resmungão de quem lhe restaurar o santuário.
PAGE	538
H3	Um ídolo de pedra
P	◇, <i>rústico, mágica</i>
P	Encontrado no fundo de alguma caverna ou gruta, escondido por raízes e escombros, cercado de oferendas ressecadas e apodrecidas. Uma coisa tosca e atarracada, com a cara escarnecedora de um gambá, uma cauda espinhosa e flores no lugar das orelhas.
P	O ídolo é, na verdade, um pequeno Fae narcisista, preso (escondido? teimosamente instalado?) na forma de um ídolo de pedra. Para desvendar seus “mistérios” e contar com seu patrocínio, você precisa...
C	… restaurar o santuário, aguentando os insultos de seu deusinho raivoso.
C	… extrair o ídolo da pedra e dos escombros em que está encravado, com o risco de danificá-lo/ofendê-lo.
C	… enganar o ídolo para que aceite uma oferenda que o deixe em dívida duradoura com você. Um Excedente de comida e/ou uísque deve bastar.
H3	O Deusinho Raivoso
P	Quando você <b><i>põe o ídolo num lugar de destaque e</i></b> <b><i>implora que ele atenda seu humilde servo,</i></b> ele desperta (mas continua inerte). Trate-o como um seguidor, embora ele mal se considere um.
ICON	icons/fae.svg
H3	O Todo-Poderoso Thistlewisk
P	<i>Fae, minúsculo, mágico, ardiloso, arrogante</i>
P	<b>HP</b> 15; <b>Armadura</b> 6 (pedra, resistência), 2 contra ferro <b>Qualidades especiais</b> inerte; voz incorpórea <b>Instinto</b> encher os adoradores de insultos
P	• Fazer exigências absurdas
P	• Consumir a essência dos alimentos
P	• Perceber os pensamentos/memórias ociosas de alguém
P	• Tecer ilusões e alucinações poderosas (<i>próximo</i>, <i>área</i>)
P	• Entediar-se/emburrar e ir dormir
P	<b>Custo</b> reverência e oferendas de comida cada vez maiores (Lealdade: ◇◇◇ )
P	<b>HP</b>
P	Starts at 15
