# minor-bronze-protector · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: 青铜守护者
# nav_label: 青铜守护者
# description: 青铜守护者（Bronze Protector），石顶小秘宝：一具以炉灶为心的青铜构装，炉火燃着时便作为追随者护卫你。
PAGE	533
H3	一个金属人
P	<i>魔法</i>，<i>易碎</i>
P	一座青铜像，但其实不算雕像，更像巧妙接合在互锁管骨架上的铠甲碎片。而“胸口”与其说是胸甲，不如说是一口小肚炉。精细符文几乎被铜绿盖住。
P	它凹了、裂了、撕开了，但仔细搜寻能把所有零件找齐。
P	这显然不只是一座雕像，但要解开它的奥秘，你需要……
C	……修复身体，一位<i>卓异</i>的铁匠要花上一整季（价值3）。
C	……花几周修复符文，有出错使它们无效或不稳定的风险。
C	……说服你自家炉灶的精魂入住这口炉、驱动这具构装。
H3	青铜守护者
P	戒备：◇◇◇◇
P	只要<b><i>炉膛般的胸口里火在燃烧</i></b>，炉灶精魂就会驱动这具构装。把它当作追随者。
ICON	icons/construct.svg
H3	青铜守护者
P	<i>构装，精魂，耐久，警觉，</i> <i>专横，哑，轻信</i>
P	<b>HP</b> 13；<b>护甲</b> 3（金属）
P	<b>伤害</b> 捶打 1d8（<i>近身</i>）
P	<b>特殊性质</b> 防火；守护7+时持有+1戒备；需要铁匠铺和工具才能回复HP <b>本能</b> 过分热心地守护你
P	• 气势汹汹地矗立，喷出浓烟
P	• 引发火灾，造成附带损害
P	• 燃料将尽
P	<b>代价</b> 大量感激（忠诚：◇◇◇ ）
P	<b>HP</b>
P	起始为13
