# minor-call-of-the-hunt · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: 狩猎召唤
# nav_label: 狩猎召唤
# description: 狩猎召唤（Call of the Hunt），石顶小秘宝：一张狼皮，让你在月下化作狼并召来一群狼。
PAGE	523
H3	一张狼皮
P	<i>魔法</i>，<i>保暖</i>
P	那一定曾是一头威严的野兽，保存精细，眼窝里嵌着苍白的石头，还有一个夹子，可以像连帽披风那样戴。但无论你怎么刷，牙齿上的红渍都去不掉。
P	这张皮住着一股强大精魂，不只是狼的，而是狩猎本身的。要解开它的秘密，你必须……
C	……披着这张皮，独自在月光下猎一头野兽。
C	……用赤手或牙齿扯出它的肝，生吃下去。
H3	狩猎召唤
P	当你<b><i>对着升起的月亮嚎叫，脸上抹着</i></b> <b><i>血，身上只披这张皮</i></b>时，你带上狼的形貌，并召一群狼到身边。
P	点名你的猎物并掷……
E	若你有它们的气味，+1；
E	若它们落单则+1，否则-1；并且
E	若它们不会惧怕一群狼，-1。
P	<b>7+</b>，你把猎物逼入绝境，造成2d6+4伤害（<i>狼藉</i>），然后狼群散去，你褪去狼身；<b>10+</b>，再选1项；
P	<b>7-9</b>，再选2项。
B	你的狼群撕咬了一名或多名无辜者
B	你自己承受2d6+4 <i>狼藉</i>伤害
B	你的本能变成“表现得像一头嗜血的狼”，直到你升级。
P	<b>6-</b>，猎物逃脱，你仍必须从上面列表选2项。
P	32
