# minor-convocation-of-the-soil · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: 土壤召请
# nav_label: 土壤召请
# description: 土壤召请（Convocation of the Soil），石顶小秘宝：一块沉没的匠造者石板，用血唤醒土壤精魂，换来额外盈余。
PAGE	524
H3	一块沉没的石板
P	<i>无法携带</i>
P	一大块古石，大约1.5米宽，覆着泥与藻。上面有匠造者符文，几乎看不见。土之符文，精魂之符文，复苏之符文。
P	石板揭示一项仪式的做法，你可以学会，如果你……
C	……把石板从淤泥里挖出来。
C	……小心清洗它。
C	……辨读匠造者符文。
C	……研习符文几周。
C	……练习施放这道法术，有伤害附近土壤或从土中唤醒危险之物的风险。
H3	土壤召请
P	当你<b><i>把血洒在土壤上并念出</i></b> <b><i>召请之词</i></b>时，土壤的精魂会搅动醒来，使土壤充满生命、能量与养分。
P	当你<b><i>在早春对田地施放这道法术，洒下</i></b> <b><i>吓人的大量自己的血</i></b>时，标记全部三项衰弱，HP只剩1点。
P	若聚落花费1点盈余在休耕田上播种，今年秋收将产生
P	额外1d4+1点盈余。
P	不过，你必须掷 +WIS：<b>10+</b>，没有后果；<b>7-9</b>，仲夏之前，你必须用一头大型健康野兽（如马、骡、林牛或野牛）的生命之血浇灌土壤，否则额外作物会失败，额外盈余也会失去；<b>6-</b>，法术奏效，但你从土壤中搅起某种危险的精魂或植株，或放出某种囚于土中的邪恶。
