# minor-flying-cloak · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 3f5f1fb30efb279908bb3b21b89d5f607a270fba210be7356d732f1302884677
# title: 飞行斗篷
# nav_label: 飞行斗篷
# description: 飞行斗篷（Flying Cloak），石顶小秘宝：一件绣云斗篷，说出命令之词便放出其中的风暴精魂。
PAGE	522
H3	一件绣工华丽的斗篷
P	◇，<i>魔法</i>，<i>保暖</i>
P	极其精细的羊毛，染成淡蓝灰色，绣着风格化的云。边缘有蓝白符文，用以太矿丝线缝成。它摸着潮湿，有雨和臭氧的气味，在并不存在的风里飘动。
P	当你<b><i>披上斗篷</i></b>时，你会察觉束缚其中的存在，颤动而不耐。要解开斗篷的奥秘，你必须……
C	……得知被缚精魂的名字。
C	……辨读用古匠造者文字绣上的命令之词。
C	……把精魂屈从于你的意志，冒着它（破坏性地）逃脱的风险。
H3	飞行斗篷
P	当你<b><i>穿着斗篷并说出命令</i></b> <b><i>之词</i></b>时，斗篷中的风暴精魂活过来，作为追随者服从你。它从不想落地；你必须花费它的忠诚或说服它。
ICON	icons/spirit.svg
H3	斗篷中的精魂
P	<i>精魂，魔法，骄傲，哑</i>
P	<b>HP</b> 13；<b>护甲</b> 1（无定形）
P	<b>伤害</b> 抽打的风、雨、碎屑 d6
P	（<i>近距，范围</i>）
P	<b>本能</b> “听不见”你的命令
P	• 用旋风垫把主人托到空中
P	• 飞行时显现一场风暴
P	• 对周围大肆破坏
P	• 从狂暴风暴中掷出闪电，d10+3（<i>远距</i>，<i>强力</i>，<i>装填</i>）
P	<b>代价</b> 飞上几个钟头（忠诚 ◇◇◇ ）
P	<b>HP</b>
P	起始为13
