# minor-make-pliant-the-stone · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: ac4fc700bfc59b84c1f1deba10f5ade21b8f93ac98e32c02d6ebc96a20322ed2
# title: 令石柔顺
# nav_label: 令石柔顺
# description: 令石柔顺（Make Pliant the Stone），石顶小秘宝：一支匠造玻璃铃，敲响时让你触及的石、晶或玻璃变得可塑。
PAGE	525
H3	一支匠造玻璃铃
P	◇◇ <b>，</b> <i>不可摧毁</i><b>，</b> <i>魔法</i><b>，</b> <i>响亮</i><b>，</b> <i>危险</i>
P	一根大约4英尺长、3英寸宽的圆筒，玻璃出奇地薄。轻敲时发出饱满、洪亮的铃音。用力敲时，声音几乎震耳欲聋，使附近的石、晶或凡俗玻璃表面出现涟漪纹样。
P	这支铃是一件强大的工具，如果你能解开它的秘密。要做到……
C	……抓紧它，狠狠猛击一下，掷 +CON：<b>10+</b>，你做成了；<b>7-9</b>，标记一项衰弱，需要再试；<b>6-</b>，问GM出了什么大错。
C	……花大约一周学会控制鸣响的铃。
C	……练习时有对听力造成永久伤害、并对附近一切造成重大损害的风险。
H3	令石柔顺
P	当你<b><i>用力敲铃并意志</i></b> <b><i>自己抓紧它</i></b>时，标记一项衰弱并掷 +CON。
P	<b>10+</b>，你保持控制，铃会响大约一分钟。鸣响期间，你用铃触碰的任何石、晶或玻璃都会变软可塑，易于塑造。接触越久，变得柔顺的材料越多。鸣响停止时它恢复硬度，但保持当前形状。
P	<b>7-9</b>，选1项：
B	如10+那样保持控制，但你必须把全力倾注进去——再标记一项衰弱
B	意识到你控制不了，在造成任何伤害前压住铃音（说出如何）
P	36
