# minor-mantle-wraiths · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: 披风怨灵
# nav_label: 披风怨灵
# description: 披风怨灵（Mantle Wraiths），石顶小秘宝：一件缀着人牙的破烂披风，松开其上系着的怨灵当作追随者。
PAGE	512
H3	一件破烂的披风
P	◇，<i>保暖，魔法</i>
P	发现于一具被剥尽血肉的骨架上，骨头上尽是只能称为咬痕的痕迹。细看披风，可见银线织成的符记，以及缝在边缘如装饰珠的人牙。
P	你可以通过……解开这件披风的力量
C	……穿着它三天三夜，漫长的夜里忍受噩梦。
C	……把系于其上的那些流涎怨灵制服。
H3	披风怨灵
P	当你<b><i>松开系于披风上的</i></b> <b><i>怨灵</i></b>时，把它们当作追随者。它们极不愿回到披风；你必须花费它们的忠诚或说服它们。
ICON	icons/spirit.svg
H3	披风怨灵
P	<i>群体</i>（3），<i>精魂，不死，骇人，凶残</i>
P	<b>HP</b> 13；<b>护甲</b> 1（无定形）
P	<b>伤害</b> 生命汲取 d8（<i>近身</i>，忽略护甲）
P	<b>本能</b> 肆意横行
P	<b>特殊性质</b> 日光下无力
P	• 向穿戴者低语它们的渴望
P	• 显现为阴影与寒冷的形体（仅被银与盐伤害）
P	• 扑向生者
P	• 从猎物身上吸走活力
P	<b>代价</b> 被吞噬的灵魂（忠诚 ◇◇◇ ）
P	<b>HP</b>
P	各自起始为13
P	10
