# minor-moonstone · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 870f6051183ac582756a437e87221f0fbfb9927cb744f80ee0012670670bcbdd
# title: 月石
# nav_label: 月石
# description: 月石（Moonstone），石顶小秘宝：一脉乳白色晶体，充入满月光后可揭示并灼伤不死者。
PAGE	536
H3	一脉乳白色晶体
P	<i>魔法，美丽，无法携带</i>
P	发现于洞穴、山中或某块岩石露头，当地人多半视为圣地。它看起来像混浊的白石英，但夜里会微微发光。
P	你可以解开这脉矿的奥秘，打造一件对抗不死者的护符，但要做到，你必须……
C	……亲自从矿脉取出一大块 ◇ 晶体（价值1）。
C	……让宝石工匠把它雕磨成完美的球体（一件价值1的活）。
C	……学会把光灌注月石、再把那光唤出的圣词。
C	……在满月下度过三个夜晚，念出圣词，有出错毁掉月石或至少浪费本月努力的风险。
H3	月石
P	◇，<i>美丽，魔法</i>，<i>易碎</i>，
P	小时：◇◇◇◇◇
P	当你<b><i>在满月下度过一夜，</i></b>把它的光导入月石，它获得1小时的光（最多5）。
P	当你<b><i>在黑暗中把月石举起</i></b> <b><i>并念出一句圣词</i></b>时，它放出苍白的白光（<i>范围</i>，<i>近距</i>），不显示颜色，只显示形状与质地。这光揭示不死者，即便是尚未显现的精魂，以及被魔法或伪装掩盖的存在。
P	当<b><i>月石是你唯一的光源并且</i></b> <b><i>你喊出正确的词</i></b>时，它爆出银色的光，范围内所有不死者按剩余每小时的光承受1d6伤害（忽略护甲）。然后月石熄灭，其光耗尽，直到你再次充能。
