# minor-old-mothers-wine · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 2a1fb6bb8a668b001934fcc1a2ed1b87ae5aeb910ca76991fe2a3012dab29ad3
# title: 老母之酒
# nav_label: 老母之酒
# description: 老母之酒（Old Mother's Wine），石顶小秘宝：一本叶页小册，记载用记忆向接骨木换来的妖精酒。
PAGE	509
H3	一本小小的怪书
P	<i>易碎</i>
P	一本小手册，写在看似柔韧叶片的纸上。用通行文字写成，却是一串奇异诗意的无意义音节。
P	手册揭示一种充盈着妖精魔法的接骨木果酒配方，但要学会配方，你要么……
C	……需要一名妖精诗人的帮助，或也许森林之民中的一位；要么……
C	……有把配方弄错、毒害或诅咒喝你所酿之酒的人的风险。
H3	老母之酒
P	失去的记忆：◇◇◇◇◇◇
P	当你<b><i>向一棵挂满浆果的接骨木</i></b> <b><i>献出一段记忆</i></b>时，告诉我们你放弃了什么。标记1点失去的记忆并掷1d6；若点数低于你失去的记忆，改变你的本能并清除标记。
P	当你<b><i>采下浆果并花上一季</i></b> <b><i>用它们酿酒</i></b>时，获得一皮囊老母之酒（5次，魔法）。
P	当你<b><i>喝老母之酒喝到微醺</i></b>时，消耗一次。一夜一日，你的眼睛对妖精魔法睁开，意味着：
B	你看见妖精幻象与幻魅背后的真相
B	你免疫妖精魅惑
B	你可以自由进入妖精领域、走妖精小径
B	你在妖精领域中时间正常流逝
