# minor-opening-the-way · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 27eb42b8ac31eb1208c4715f84daab1e345c0984da62fa44a675b5e875b63881
# title: 开辟通路
# nav_label: 开辟通路
# description: 开辟通路（Opening the Way），石顶小秘宝：一封古南方书信，教你用朱砂在传送门之间打开通道。
PAGE	517
H3	一封岁月磨损的信
P	<i>易碎</i>
P	一封写在褪色、斑驳莎草纸上的信，用一种古南方语写成。它邀请“博阿斯”经由“你最近的传送门”来访，附有说明和一圈奥术印记。“抵达后找卡尔库斯。”
P	要解开这些传送门的奥秘，你必须……
C	……翻译这古方言。
C	……找到一座传送门（不是信中描绘的那一座）。
C	……确定如何“唤起局部传染公理”。
C	……弄到一袋粉末朱砂 ◇（1d4+8次，价值2）。
C	……第一次尝试施放这道法术，并有施错的风险。
H3	开辟通路
P	◇ 一袋粉末朱砂（◇◇◇◇◇◇◇◇◇◇◇◇ 次，价值2）
P	当你<b><i>用粉末朱砂墨水</i></b> <b><i>小心地把一座传送门的印记描在</i></b> <b><i>另一座的永久印记之内，然后唤起</i></b> <b><i>局部传染公理</i></b>时，两座传送门之间打开一条通路，持续到你离开它们的存在或解散公理。你所描的印记随即消失。穿过传送门通常安全而瞬间。
P	当你<b><i>站在一座传送门前，把另一座</i></b> <b><i>传送门的印记完美地记在心里</i></b>时，标记一项衰弱，让那些印记显现为发光的线。当你<b><i>然后唤起</i></b> <b><i>局部传染公理</i></b>时，掷 +INT：<b>10+</b>，传送门打开，但你的专注一松就关上；<b>7-9</b>，如10+，但前提是你再标记一项衰弱；<b>6-</b>，标记一项衰弱，因劳累昏过去。
P	20
