# minor-peacebond · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 593033fb6f630dbae6870a3fc6944a32b29de7158f84a23477c3bcf3587ae464
# title: 和平契
# nav_label: 和平契
# description: 和平契（Peacebond），石顶小秘宝：一座封死的洞穴，墙上回环的符记抽走争斗的意志。
PAGE	519
H3	一座封死的洞穴
P	<i>魔法</i>
P	在丘陵或山中高处，可以找到一处用砖封死的洞口。里面躺着几十具尸体，被寒冷保存了几个世纪。
P	许多人下颌畸形，牙齿过大，手指拉长成爪。很少有暴力痕迹；他们看起来只是躺下死了。
P	的确，洞壁上满是回环的符记，抽走你挣扎、争斗、做多少……任何事的意志。你可以学会它们的奥秘，但是……
C	……这需要几天仔细抄录，被忧郁的残影缠着。
C	……你有屈服于此地倦怠的风险。
H3	和平契
P	当你<b><i>用和平契</i></b> <b><i>符记标记一处地方</i></b>时，暴力（即便自卫）在符记仍在期间被压制。在和平契区域内停留越久、符记织得越密，效果越大。
P	当你<b><i>试图在和平契区域内施暴，或伤害和平契</i></b>
P	<b><i></i></b>
P	<b><i>符记本身</i></b>时，你会犹豫。
P	若你<b><i>意志自己继续</i></b>，失去1d4 HP并掷 +WIS：<b>10+</b>，去做；<b>7-9</b>，你行动了，但任何施暴的掷骰（包括伤害）处于劣势；<b>6-</b>，你未能行动，并标记<i>恍惚</i>。
