# minor-plaster-of-joining · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: 接合灰浆
# nav_label: 接合灰浆
# description: 接合灰浆（Plaster of Joining），石顶小秘宝：一只精陶瓮，用血、水和秘方唱上一昼夜，便能把石熔接。
PAGE	526
H3	一只精致的陶瓮
P	◇ <b>，</b> <i>美丽</i><b>，</b> <i>易碎</i><b>，</b> <i>魔法</i>
P	一只精陶罐，大约一口小锅那么大。
P	釉面是奇妙的纹样与光泽交融。盖子扣得严实，但操作笨拙，一旦关上就很难再打开。
P	你觉得它是为比你大得多的手做的。
P	要解开瓮的秘密，你必须……
C	……与住在其中的冥府精魂交感（<b>本能</b> 囤积秘密）。
C	……说服它把让其魔法运作所需的秘方和歌都教给你。
C	……弄到配方所需的试剂（价值1）。
C	……设法把秘歌不停地唱上一昼夜。
H3	接合灰浆
P	次数 ◇◇◇
P	当你<b><i>把水、一撮血和特殊试剂（价值1）倒进瓮里，对着它唱</i></b> <b><i>满一昼夜</i></b>时，瓮获得1次灰浆（最多3次）。
P	当你<b><i>用灰浆接合两块或更多</i></b> <b><i>石、岩或晶体</i></b>并让灰浆凝固几个钟头，这些块会熔在一起。不同材料会显出自然的渐变接缝。
P	同类材料会无缝熔接。
P	一次灰浆最多能覆盖几英寸宽高的面积。多次使用可以接合更大的石块。未用的灰浆只要瓮保持密封就会无限期保存。
