# minor-runes-of-creation · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: d21e81fbeb568983fe157e242c9d45800dcfdebd7ac91503eaae5d095b20bf9e
# title: 创世之符
# nav_label: 创世之符
# description: 创世之符（Runes of Creation），石顶小秘宝：一只金属谜盒，内藏无声之言，可改写物件。
PAGE	539
H3	一只金属谜盒
P	◇，<i>不可摧毁</i>
P	一个15厘米的暗灰色金属立方，覆着铰链、旋钮、刻度盘、滑块、杠杆之类。一件疯狂天才之物，抗拒一切以蛮力打开的企图。
P	要解开它的奥秘，你必须……
C	……掷 +INT 来打开盒子：<b>10+</b>，需要摆弄几天；<b>7-9</b>，需要几个执迷的星期；<b>6-</b>，这超出你的能力。
C	……花上一季辨读内侧蚀刻的符号。
C	……有永远辨读不出符号、和/或因此生出某种心智怪癖的风险。
C	……与一缕太古精魂交感，向它学会无声之言。
C	……花几周练习这道法术，冒着各种伤害与附带损害的风险。
H3	创世之符
P	当你<b><i>小心地在一件物件上铭刻</i></b> <b><i>创世之符</i></b>时，选1项期望效果：
B	它会流入你想象的任何形状
B	它会变得<i>不可摧毁</i>
B	它会变得<i>美丽</i>
B	它会爆出可怖的热（1d10伤害，<i>狼藉</i>），哪怕只是一瞬间
P	当你<b><i>说出完成法术的</i></b> <b><i>无声之言</i></b>（<i>远距</i>距离）时，标记一项衰弱，元素之力经你流入物件。效果奏效，但掷 +CON：<b>10+</b>，选1项；<b>7-9</b>，选1项且GM另选1项；<b>6-</b>，全部3项。
B	再标记一项衰弱并失去1d10 HP
B	元素失控，引发火灾/地震/雪崩/风暴等
B	效果只在你专注时持续，然后物件以GM选择的方式受损
P	64
