# minor-searing-touch · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 6ff10a7fbd24388b2cf3da9b2247407f4468aa76763f25ba3405a85dc02c0869
# title: 灼热之触
# nav_label: 灼热之触
# description: 灼热之触（Searing Touch），石顶小秘宝：熔炉领主工坊里的符文烙铁，把火焰烙进你的灵魂。
PAGE	534
H3	一根符文烙铁
P	◇，<i>魔法</i>
P	发现于某位熔炉领主的工坊，仍夹在台钳里。头部是符文形状，
P	6乘6英寸，表面蚀着更小的符文。或者说，大部分表面如此。有几英寸是空白的，活显然没做完。
P	要解开这烙铁的奥秘并把力量据为己有，你必须……
C	……辨读符文的含义，并认出缺失的那些。
C	……完成蚀刻，有出错使下一步失败的风险。
C	……把烙铁烧红，让自己被烙（失去3d6 HP），符文从烙铁上褪去，烙进你的灵魂。
C	……让伤口愈合结疤，不借助任何魔法。
H3	灼热之触
P	当你<b><i>唤起灵魂中的火并</i></b> <b><i>把它灌进双手</i></b>时，掷 +CON：<b>7+</b>，你的手像白热烙铁一样燃烧（见下）；<b>但</b> <b>10+</b>，先选1项；<b>且7-9时</b>，先选2项：
B	需要几分钟极度专注
B	它烧掉你的生命力；失去2d4 HP
B	疼痛可怕；标记一项衰弱
P	<b>6-</b>，无论GM还说了什么，直到你休养之前不能再这样做。
P	当你的<b><i>双手燃烧</i></b>时，你的触摸造成1d10伤害（<i>近身</i>，<i>狼藉</i>，<i>危险</i>，1穿刺），点燃木头，烧开水，加热金属。你的手不受热伤害，但你的装备和身体其余部分没有这种保护。
P	小心。
P	只要你保持专注，双手就会燃烧，最多大约一两分钟。
