# minor-shattering-words-of-aalz-childric · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 90466b869d4dd63fef8b8ba7510e93f81dd2542b6fdf5001cf81b04be76c218d
# title: 阿尔兹·奇尔德里克的碎裂之言
# nav_label: 阿尔兹·奇尔德里克的碎裂之言
# description: 阿尔兹·奇尔德里克的碎裂之言（Shattering Words of Aalz Childric），石顶小秘宝：地下厅堂四柱上的巨符，刻入石中后一语即碎。
PAGE	513
H3	蚀着符文的柱子
P	<i>魔法</i>
P	一座巨大废堡的深处，有一间拱顶厅堂，曾是储藏室，很久很久以前就被洗劫。一具巨人骨架趴在门口内侧，颅骨与肋骨被砸凹。
P	四根柱子撑着屋顶，刻着一串颤动着力量的巨大符文。你可以解开它们的秘密，但是……
C	……你必须花几天研习符文并记住它们的顺序。
C	……你必须对灌注其中的魔法冥想几周。
C	……你有触发符文中所含法术、整座结构倒塌的风险。
H3	阿尔兹·奇尔德里克的碎裂之言
P	当你<b><i>把阿尔兹·奇尔德里克的碎裂之言</i></b> <b><i>刻进石或岩</i></b>时，指定一个关键词或短语。
P	当你或另一人<b><i>说出关键词或</i></b> <b><i>短语并意志法术触发</i></b>时，你掷
P	+CON：<b>10+</b>，刻着符文的石碎裂，立刻化为瓦砾；<b>7-9</b>，石头开裂弯折，慢慢裂成若干块。
