# minor-shell-game-of-souls · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 28ab5d54aed35c5cfa8bfa1dbac3edc6425fd9510c73e3cc9c451679bb5792e4
# title: 灵魂套壳戏
# nav_label: 灵魂套壳戏
# description: 灵魂套壳戏（Shell Game of Souls），石顶小秘宝：陷坑底洞穴中的符文，把垂死者的灵魂缚在你的肉身上。
PAGE	510
H3	洞穴中的雕刻
P	一口陷坑底部是一座石灰岩洞穴。
P	一具发霉的骨架靠着一面墙瘫着，有被吊死的迹象。但洞壁上刻着符文，覆着矿沉积。
P	你可以研习符文并学会它们所含的秘密，但是……
C	……你必须花几周小心修复符文。
C	……你有在工作时毁掉它们的风险。
C	……你必须辨读这些古文字，它们与石领主符文相似。
C	……然后还需要几天研习。
H3	灵魂套壳戏
P	灵魂（最多体质）：◇◇◇
P	当你<b><i>触摸一个垂死的智慧存在，说出他们的名字与束缚之词</i></b>时，掷 +INT：
P	<b>10+</b>，你把他们的灵魂缚在你的肉身上；<b>7-9</b> <b></b>，你缚住他们的灵魂但削弱了你自己的——最大HP降低1d4+1。
P	你的肉身能缚住数量等于你体质的灵魂。它们在梦中显现，并在你心智或身体虚弱时争夺控制。把他们的名字写在这里：
P	当你<b><i>在鬼门关掷出6-</i></b>时，你可以释放一个被缚灵魂替你踏过最后之门。若你这样做，你如掷出7-9一般活下来。不过你的身体仍带着本会杀死你的那些痕迹。
