# minor-the-brooms-lullaby · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: 扫帚摇篮曲
# nav_label: 扫帚摇篮曲
# description: 扫帚摇篮曲（The Broom's Lullaby），石顶小秘宝：一把朴素的花楸木扫帚，边扫边唱便让人入迷、入睡。
PAGE	537
H3	一把朴素的扫帚
P	◇，<i>魔法，粗陋</i>
P	不过是一根用旧了的花楸木棍，需要换些新扫帚苗。你本不会再看它一眼。只是……你拿着它扫的时候，会发现自己在哼一支半记得的调子。
P	显然，这把扫帚比眼见的更多。要解开它的奥秘，你必须……
C	……找到一个能听见扫帚整首歌的妖精。
C	……说服他们把扫帚的歌完整教给你。
C	……整整一季每天至少用一次扫帚，边用边唱摇篮曲。
C	……练习摇篮曲时有陷入持久、无时之睡的风险。
H3	扫帚摇篮曲
P	<i>魔法，范围，近距</i>
P	当你<b><i>开始清扫一处地方，同时轻声</i></b> <b><i>唱摇篮曲</i></b>时，掷 +CHA：<b>7+</b>，看见并听见你的人会停下来观看倾听，至少一会儿，入迷或困惑或觉得好笑，视其本性与处境而定。他们若受伤或受威胁就会醒过来。<b>此外，</b> <b>10+</b>，只要无人受伤或受威胁，你可以在摇篮曲的时长里抓住他们的注意。
P	当你<b><i>唱完整首摇篮曲，自始至终</i></b> <b><i>扫着</i></b>时，掷 +CHA：<b>10+</b>，所有听见你的人都陷入沉睡，并倾向于把这当作一场梦打发掉；<b>7-9</b>，所有听见你的人开始打盹或陷入浅而抽动的睡，但他们醒来后一定会记得；<b>6-</b>，你的听众中至少有一个猛然醒悟，意识到这一切有多怪。
P	60
