# minor-the-flesh-is-like-clay · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: a646473d865f407fe74be39aeab2c295a62736990923692ba512f7e0749d871f
# title: 血肉如泥
# nav_label: 血肉如泥
# description: 血肉如泥（The Flesh Is Like Clay），石顶小秘宝：一处被地底之物触及过的洞穴，用活物的血改写你的肉身。
PAGE	528
H3	一处阴森的洞穴
P	某处有一座洞穴——光永远照不进的某处——洞壁是翻涌的构造，又滑又湿，闪着不再发光的红晶矿脉。石头在摇曳的火把光里起伏。对，对，一定是这样……光线的把戏，仅此而已。
P	洞穴带着一尊地底之物残留的污秽，但已与其力量切断。要解开它的秘密，你必须……
C	……得知曾经腐化此地的那尊地底之物的名字。
C	……在绝对黑暗中待在这里至少整整一天，尽管噩梦与幻觉试炼你的灵魂。
C	……把一个仍活着的温血存在带到洞穴，把它的生命之血洒在石头上，同时吟诵曾经触及这不洁之地的那尊地底之物的名字。
H3	血肉如泥
P	当你<b><i>在洞穴里残忍地杀死一个温血存在</i></b> <b><i>，</i></b>一个与你体型相近的，并<b><i>把它的血和你的血都抹在石头上，</i></b>标记1项：
C	获得不洁的韧性：最大HP提高2，对青铜以外的一切获得+1护甲。
C	获得受害者的一项身体特质（他们的力量、速度、外貌、强健的心等）。
C	治愈自己的一处永久伤残（再生肢体、去除伤疤、修好坏膝盖等）。
P	<b><i>每次你使用这股力量</i></b>，标记全部三项衰弱。每次使用，洞穴里的一些红晶会消失。第三次使用后，晶体与洞穴的力量都没了。
