# minor-thunderous-bellow · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: 雷鸣咆哮
# nav_label: 雷鸣咆哮
# description: 雷鸣咆哮（Thunderous Bellow），石顶小秘宝：荒原或惧河边一块半埋的铭牌，教你发出太古风暴之吼。
PAGE	510
H3	一块半埋的铭牌
P	◇◇，<i>笨重</i>，<i>魔法</i>
P	一块从土里探出的青铜板，在荒原某处或惧河附近。它凹了，有点翘，表面蚀着匠造者符文与深奥图示。它到底怎么到这儿的？
P	这块板含有一道法术的做法，你可以学会，但是……
C	……你必须先把板挖出并清洗。
C	……你必须辨读匠造者符文。
C	……这需要几周研习。
C	……练习时有伤害嗓音、听力和/或邻居的风险。
H3	雷鸣咆哮
P	当你<b><i>引导太古风暴并发出</i></b> <b><i>一声雷鸣咆哮</i></b>时，承受1d6伤害（忽略护甲）并掷 +CON：<b>10+</b>，附近所有人（除你以外）必须选2项；<b>7-9</b>，附近所有人（除你以外）必须选1项。
B	丢掉手里的东西，捂住耳朵
B	耳聋并迷失方向片刻
B	踉跄着离你几步 6
