# minor-unliving-chimera · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 0ee8ebf89a532ca42c4593e9ba1456cd185ac3dbb0223592faddbf06bdb681eb
# title: 亡者嵌合体
# nav_label: 亡者嵌合体
# description: 亡者嵌合体（Unliving Chimera），石顶小秘宝：一口锈锅，用你珍视之兽的骨与血煮出一具亡者追随者。
PAGE	524
H3	一口生锈的大锅
P	<i>无法携带，魔法</i>
P	大到一个成年男人可以爬进去，坑坑洼洼、有划痕，刻着涡状符文般的图案。整口锅覆着锈。至少，你希望那是锈。
P	这东西有一种阴森的感觉，你可以感知它的力量。要解开大锅的奥秘，你必须……
C	……彻底刷掉锅上的锈。
C	……在锅里睡七夜，做污秽的梦，每次标记一项衰弱。
C	……把一头你真心爱过或珍视过的野兽的骨煮沸，拌入一些你的鲜血。
C	……把升起的那可悲之物置于你的控制之下。
H3	亡者嵌合体
P	当你<b><i>在锅里煮野兽的骨</i></b> <b><i>并搅入自己的鲜血，</i></b>最多标记3项衰弱。一具亡者嵌合体从锅中升起。把它当作追随者，你所用每头野兽的骨给它一个标签（<i>熊般</i>，<i>猫头鹰般</i>等）。
P	你每标记一项衰弱，选1项：
B	它是稳定的（否则，一天内散架）
B	它不<i>笨拙</i>
B	把它的本能换成“躲避光”
ICON	icons/undead.svg
H3	亡者嵌合体
P	<i>不死，构装，骇人，笨拙</i>
P	<b>HP</b> 3；<b>护甲</b> 4（对青铜为0）
P	<b>伤害</b> 不定 d6（<i>近身</i>，也许还有其他）
P	<b>本能</b> 困惑并乱打
P	• 做其组成野兽之一能做的事
P	• 可悲而扰人地呻吟
P	<b>代价</b> 大量鲜血（忠诚 ◇◇◇ ）
