# minor-void-elemental · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: a5b7491de500480f8caea17236bd08daec503d089f0d2cf902849bd36d89d1f1
# title: 虚空元素
# nav_label: 虚空元素
# description: 虚空元素（Void Elemental），石顶小秘宝：一顶过大的以太矿冠，用存在与非存在之言召来太古精魂。
PAGE	539
H3	一顶过大的冠
P	◇，<i>美丽，魔法，防火</i>
P	一圈黑色光亮的金属，嵌着八座以太矿尖塔。尺寸适合大约你两倍大的头，摸着总是有点凉。即便丢进最热的炉，它也不会熔化，甚至不会变热。
P	当你<b><i>用裸肉触摸冠并</i></b> <b><i>打开心智</i></b>时，你可以与冠所调谐的太古精魂交谈。但要完全解开这顶冠的奥秘，你必须……
C	……在与这缕虚空精魂交感时冒着失去自我感的风险。
C	……学会存在之言，它会强迫精魂显现。
C	……学会非存在之言，它会把精魂送回家。
C	……说服精魂显现，然后成功解散它。
H3	虚空元素
P	忠诚：◇◇◇
P	当你<b><i>触摸冠并说出存在</i></b> <b><i>之言</i></b>时，精魂显现。把它当作追随者，起始3点忠诚（它永远不能再获得更多）。当你<b><i>触摸冠并吟诵</i></b> <b><i>非存在之言</i></b>时，精魂可以回到虚空——如果它愿意。
ICON	icons/spirit.svg
H3	虚空元素
P	<i>精魂，太古，困惑，愤怒</i>
P	<b>HP</b> 15；<b>护甲</b> 1（无脏器）
P	<b>伤害</b> 虚空之触 1d10带优势（<i>近身</i>，<i>抓取</i>，忽略护甲）
P	<b>特殊性质</b> 免疫大多数伤害 <b>本能</b> 对所有喧嚣与混乱发怒
P	• 显现为现实中的一个黑洞
P	• 掐灭一个能量来源
P	• 变得困惑，不确定该做什么
P	<b>HP</b>
P	起始为15
